Env,Pop,Family,Position,Treatment,Lat,Long,Pair,GH,GH_Block,Roof_Block,Germ,Germ_JD,Hypocotyl(mm),Cotyledon(mm),LeafNum,Date_of_1Meas,Harvest Julian Day,Flowering Time,StemWidth,PlantHeight,NodeNum,Late,Broken,Sex,Dry Biomass,Flower Color,485,530,590,IsBlank,Soy Germ,Stem Colour
Agricultural,Mulberry,112,1,Water,38.755485,-89.272475,5,2,A,1,7,188,36.56,7.3,28,203,291,260,9.28,44,26,1,0,M,6.217,2,722,816,1252,0,na,2
Agricultural,Mulberry,192,2,Water,38.755485,-89.272475,5,2,G,1,6,187,33.59,10.75,48,203,291,260,8.42,41,22,1,0,NA,5.327,1,1686,1427,2399,0,na,2
Agricultural,WSCSoy2,50,3,Soy,38.6589929,-90.7440433,8,1,D,1,9,190,26.77,10.33,14,203,291,233,5.57,49.7,20,1,0,F,7.028,1,1554,1453,2372,0,0,0
Natural,Maume,135,4,Control,41.55656599,-83.66247503,1,2,C,1,10,191,24.34,,,203,291,NA,NA,NA,NA,0,0,NA,,,25,67,56,1,na,
Natural,Greentree ,47,5,Soy,38.558781,-90.447501,7,1,D,1,,FALSE,,8.75,5,203,291,233,10.99,42.4,18,1,0,M,4.771,1,26,69,59,1,1,0
Agricultural,Allentown,24,6,Soy,40.55406597,-89.48221204,12,1,B,1,9,190,26.89,8.89,17,203,291,242,9.37,73,31,0,0,F,14.202,2,2190,1854,2792,0,1,1
Agricultural,Nunemaker,184,7,Water,38.988681,-95.215847,16,2,G,1,6,187,31.18,9.31,46,203,291,224,NA,43.3,18,0,0,M,5.941,1,1498,1322,2157,0,na,0
Agricultural,Greenup,76,8,Soy,39.305104,-88.139778,4,1,F,1,5,186,34.38,7.55,44,203,291,242,8.3,50,34,0,0,M,,1,1635,1418,2375,0,1,0
Natural,Maume,135,9,Water,41.55656599,-83.66247503,1,2,C,1,6,187,14.43,12.09,46,203,291,219,7.69,28.2,15,0,0,M,3.45,1,1527,1362,2264,0,na,1
Agricultural,Granite,144,10,Water,38.670222,-90.065665,6,2,D,1,6,187,17.51,8.78,26,203,291,242,10.16,46.1,37,0,0,F,8.824,0,2406,2067,3434,0,na,1
