Sample	Family	Treatment	Lat.x	Long.x	Region	Env	K1	K2	Pair	Sex	FTmeans	BMmeans	LNmeans	NNmeans	SWmeans	PHmeans	FCmeans	SCmeans	Germmeans	COTYmeans	HYPOmeans
5312	141	Control	38.732444	-89.277403	Keysport	Nat	0.9188351	0.0811649	5	M	50.33333333	0.078606202	1.56712963	0.526885795	0.22210587	1.36577942	0.013679891	0.003875969	7	0.855069444	2.822175926
5165	44	Control	38.755485	-89.272475	Mulberry	Ag	0.5502696	0.4497304	5	M	45.25	0.089359326	2.216666667	0.656843311	0.218896194	1.799080988	0.01147951	0.011372405	7.25	0.674472222	1.794555556
5134	74	Control	39.01893298	-84.92674196	AgLaughrey	Ag	0.3455406	0.6544594	3	M	51	0.102833333	2.3	0.470588235	0.282352941	1.470588235	0	0	6	0.4815	1.26
5169	135	Control	41.55656599	-83.66247503	Maume	Nat	0.6852217	0.3147783	1	M	36.75	0.072221805	1.568977591	0.523672136	0.287730514	1.486040707	0.003164557	0.005617978	7.75	0.680467437	1.913081232
5268	130	Control	41.35604002	-86.73699299	Prairie	Ag	0.9993795	0.0006205	15	M	29.71428571	0.026259687	1.267857143	0.603710782	0.284270831	1.511973244	0.006457991	0.015103779	6.142857143	0.748919192	2.104826118
5136	40	Control	39.01893298	-84.92674196	AgLaughrey	Ag	0.2970844	0.7029156	3	M	51	0.068153496	1.022556391	0.428741101	0.196244675	1.198399778	0.011627907	0.008445532	8.2	0.738138972	2.202241729
4862	34	Control	38.782048	-95.171401	Baldwin	Ag	1	0	17	M	47.5	0.081763441	0.5	0.677018634	0.192766193	1.494942325	0.010752688	0	8	0.869444444	2.132777778
5209	143	Control	38.699066	-90.068054	Pontoon	Nat	0.9439069	0.0560931	6	M	49	0.09547272	1.39375645	0.556976299	0.234050588	1.449898111	0.008764746	0.008862734	8.25	1.182759546	3.441881321
5284	113	Control	38.699066	-90.068054	Pontoon	Nat	0.8397205	0.1602795	6	M	55.14285714	0.041700995	1.236622118	0.531491551	0.141433484	1.077599522	0.001736111	0	6.142857143	0.578053738	1.877541833
4928	192	Control	38.755485	-89.272475	Mulberry	Ag	0.7200443	0.2799557	5	M	47	0.072772666	0.75	0.46	0.192745455	1.573545455	0.02139219	0.010639502	8.5	1.33125	3.8575
