"Ind"	"Lat"	"Long"	"Pop"	"Env"	"K1"	"K2"	"Pair"
"4_1"	42.165	-82.7575	"Essex"	"Ag"	1	0	NA
"4_2"	42.165	-82.7575	"Essex"	"Ag"	1	0	NA
"4_5"	42.165	-82.7575	"Essex"	"Ag"	1	0	NA
"4_8"	42.165	-82.7575	"Essex"	"Ag"	0.9998769	0.0001231	NA
"4_9"	42.165	-82.7575	"Essex"	"Ag"	0.9874158	0.0125842	NA
"4_11"	42.165	-82.7575	"Essex"	"Ag"	1	0	NA
"4_12"	42.165	-82.7575	"Essex"	"Ag"	0.9940384	0.0059616	NA
"4_13"	42.165	-82.7575	"Essex"	"Ag"	1	0	NA
"4_16"	42.165	-82.7575	"Essex"	"Ag"	0.9999994	6e-07	NA
"4_18"	42.165	-82.7575	"Essex"	"Ag"	1	0	NA
"5_1"	42.16528	-82.75667	"Essex"	"Ag"	1	0	NA
"5_2"	42.16528	-82.75667	"Essex"	"Ag"	1	0	NA
"5_4"	42.16528	-82.75667	"Essex"	"Ag"	1	0	NA
"5_7"	42.16528	-82.75667	"Essex"	"Ag"	1	0	NA
"5_8"	42.16528	-82.75667	"Essex"	"Ag"	1	0	NA
"5_10"	42.16528	-82.75667	"Essex"	"Ag"	1	0	NA
"5_15"	42.16528	-82.75667	"Essex"	"Ag"	1	0	NA
"5_16"	42.16528	-82.75667	"Essex"	"Ag"	1	0	NA
"5_19"	42.16528	-82.75667	"Essex"	"Ag"	1	0	NA
"6_2"	42.16472	-82.75139	"Essex"	"Ag"	1	0	NA
"6_3"	42.16472	-82.75139	"Essex"	"Ag"	1	0	NA
"6_5"	42.16472	-82.75139	"Essex"	"Ag"	1	0	NA
"6_6"	42.16472	-82.75139	"Essex"	"Ag"	1	0	NA
"6_7"	42.16472	-82.75139	"Essex"	"Ag"	1	0	NA
"6_9"	42.16472	-82.75139	"Essex"	"Ag"	1	0	NA
"6_10"	42.16472	-82.75139	"Essex"	"Ag"	0.9996483	0.0003517	NA
